case,method,budget_ratio,budget,candidate_events,retained_events,retained_anchors,scoring_and_routes_seconds,selection_seconds,model_seconds,witness_valid,score_positive_events,positive_entities,retained_positive_entities,entity_retention,candidate_positive_entities,positive_processes,retained_positive_processes,process_retention,nonseed_positive_entities,retained_nonseed_positive_entities,nonseed_entity_retention,core_reference_events,candidate_core_events,retained_core_events,core_event_retention,retained_nodes,missed_positive_entity_uuids,classification_accuracy,precision,path_recall,exploratory_followup
CADETS 12,temporal_relation_old_routes,0.1,13826,138261,13826,13497,2.5606741048395634,0.27014151588082314,2.8308156207203865,True,125130,43,35,0.813953488372093,43,24,17,0.7083333333333334,34,26,0.7647058823529411,5000,5000,210,0.042,4773,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,
CADETS 12,temporal_relation_old_routes,0.2,27652,138261,27652,27246,2.5606741048395634,0.39355115219950676,2.95422525703907,True,125130,43,35,0.813953488372093,43,24,17,0.7083333333333334,34,26,0.7647058823529411,5000,5000,214,0.0428,14930,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,
CADETS 12,hybrid_relation_temporal,0.05,6913,138261,6913,6911,2.5606741048395634,0.21036993339657784,2.771044038236141,True,125130,43,29,0.6744186046511628,43,24,14,0.5833333333333334,34,20,0.5882352941176471,5000,5000,115,0.023,6785,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1633500B-D34B-8058-8BD3-ABB7D880915E', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '34612C08-3E7B-11E8-A5CB-3FA3753A265A', '51110606-D232-9652-B2D2-3A7242968F8A', '60EBF436-633F-B75F-BF63-A8040FB73989', '7CED5514-3E7B-11E8-A5CB-3FA3753A265A', '7CF2DDA4-3E7B-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,
CADETS 12,hybrid_relation_temporal,0.1,13826,138261,13826,13791,2.5606741048395634,0.2685852199792862,2.8292593248188496,True,125130,43,33,0.7674418604651163,43,24,16,0.6666666666666666,34,24,0.7058823529411765,5000,5000,274,0.0548,13025,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '34612C08-3E7B-11E8-A5CB-3FA3753A265A', '51110606-D232-9652-B2D2-3A7242968F8A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,
CADETS 12,hybrid_relation_temporal,0.2,27652,138261,27652,27432,2.5606741048395634,0.3999091163277626,2.960583221167326,True,125130,43,35,0.813953488372093,43,24,17,0.7083333333333334,34,26,0.7647058823529411,5000,5000,4957,0.9914,13612,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,
CADETS 12,reserve_0.1,0.05,6913,138261,6840,6836,2.5606741048395634,0.36739571392536163,2.928069818764925,True,136819,43,34,0.7906976744186046,43,24,16,0.6666666666666666,34,25,0.7352941176470589,5000,5000,156,0.0312,6411,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '34612C08-3E7B-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,True
CADETS 12,reserve_0.1,0.1,13826,138261,13753,13747,2.5606741048395634,0.4121702238917351,2.9728443287312984,True,136819,43,35,0.813953488372093,43,24,17,0.7083333333333334,34,26,0.7647058823529411,5000,5000,164,0.0328,12850,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,True
CADETS 12,reserve_0.1,0.2,27652,138261,26530,26448,2.5606741048395634,0.5567066334187984,3.117380738258362,True,136819,43,35,0.813953488372093,43,24,17,0.7083333333333334,34,26,0.7647058823529411,5000,5000,4956,0.9912,13577,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,True
CADETS 12,reserve_0.25,0.05,6913,138261,6840,6834,2.5606741048395634,0.36374251544475555,2.924416620284319,True,136819,43,35,0.813953488372093,43,24,17,0.7083333333333334,34,26,0.7647058823529411,5000,5000,175,0.035,5720,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,True
CADETS 12,reserve_0.25,0.1,13826,138261,13753,13734,2.5606741048395634,0.41912902891635895,2.9798031337559223,True,136819,43,35,0.813953488372093,43,24,17,0.7083333333333334,34,26,0.7647058823529411,5000,5000,180,0.036,11089,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,True
CADETS 12,reserve_0.25,0.2,27652,138261,27117,27065,2.5606741048395634,0.5549927204847336,3.115666825324297,True,136819,43,35,0.813953488372093,43,24,17,0.7083333333333334,34,26,0.7647058823529411,5000,5000,4270,0.854,13931,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,True
CADETS 13,rasp,0.05,1798,35967,1798,1770,0.2467239312827587,0.042324792593717575,0.2890487238764763,True,32014,24,14,0.5833333333333334,24,14,6,0.42857142857142855,19,9,0.47368421052631576,497,497,419,0.8430583501006036,141,"['00C8E4E5-8BBC-D45B-BC8B-D32BABD4AFCE', '0433BCDC-3F1C-11E8-A5CB-3FA3753A265A', '044B097A-3F1C-11E8-A5CB-3FA3753A265A', '04632D66-3F1C-11E8-A5CB-3FA3753A265A', '0488BCD7-3F1C-11E8-A5CB-3FA3753A265A', '04A9D03C-3F1C-11E8-A5CB-3FA3753A265A', 'E0CAAC23-3F1B-11E8-A5CB-3FA3753A265A', 'E0E17EDD-3F1B-11E8-A5CB-3FA3753A265A', 'E0F82A6C-3F1B-11E8-A5CB-3FA3753A265A', 'EC6F1E3C-792F-485D-AF79-1A832D489243']",,,,
CADETS 13,rasp,0.1,3596,35967,3596,3568,0.2467239312827587,0.05888545140624046,0.3056093826889992,True,32014,24,14,0.5833333333333334,24,14,6,0.42857142857142855,19,9,0.47368421052631576,497,497,419,0.8430583501006036,141,"['00C8E4E5-8BBC-D45B-BC8B-D32BABD4AFCE', '0433BCDC-3F1C-11E8-A5CB-3FA3753A265A', '044B097A-3F1C-11E8-A5CB-3FA3753A265A', '04632D66-3F1C-11E8-A5CB-3FA3753A265A', '0488BCD7-3F1C-11E8-A5CB-3FA3753A265A', '04A9D03C-3F1C-11E8-A5CB-3FA3753A265A', 'E0CAAC23-3F1B-11E8-A5CB-3FA3753A265A', 'E0E17EDD-3F1B-11E8-A5CB-3FA3753A265A', 'E0F82A6C-3F1B-11E8-A5CB-3FA3753A265A', 'EC6F1E3C-792F-485D-AF79-1A832D489243']",,,,
